entry_date,exit_date,direction,asset_traded,entry_price,exit_price,entry_gsr,entry_gsr_pct,entry_z,exit_z,days_held,exit_reason,corr_at_entry,vix_at_entry,gross_pnl_%,net_pnl_%,net_pnl_₹,total_cost_₹,income_tax_₹,effective_tax_%,cost_%,equity_after
2024-02-06,2024-02-15,BUY_SILVER,Silver,22.393,22.912,90.7,94.7,1.681,0.197,8,Z_REVERSION,0.772,13.7,2.318,2.092,12422.35,1339.14,0.0,0.0,0.2255,672153.49
2024-03-18,2024-03-26,BUY_GOLD,Gold,2160.7,2175.6001,85.61,73.7,-1.546,0.125,7,Z_REVERSION,0.677,14.4,0.69,0.464,2807.29,1364.35,0.0,0.0,0.2255,674960.78
2024-04-04,2024-04-30,BUY_GOLD,Gold,2288.8,2291.3999,85.15,69.9,-2.57,-0.209,19,Z_REVERSION,0.662,14.3,0.114,-0.112,-680.03,1370.05,0.0,0.0,0.2255,674280.75
2024-05-10,2024-06-07,BUY_GOLD,Gold,2367.3,2305.2,82.9,51.6,-1.703,-1.02,20,MAX_HOLD,0.714,12.7,-2.623,-2.849,-17287.91,1368.67,0.0,0.0,0.2255,656992.84
2024-07-29,2024-08-23,BUY_SILVER,Silver,27.703,29.786,85.43,73.6,1.748,0.608,20,MAX_HOLD,0.808,16.4,7.519,7.294,43126.03,1333.58,0.0,0.0,0.2255,700118.87
2024-09-04,2024-09-13,BUY_SILVER,Silver,28.167,30.699,89.08,91.9,1.598,0.087,8,Z_REVERSION,0.833,20.7,8.989,8.764,55220.72,1421.12,0.0,0.0,0.2255,755339.59
2024-10-21,2024-11-01,BUY_GOLD,Gold,2723.1001,2738.6001,82.15,47.2,-1.717,-0.254,10,Z_REVERSION,0.742,18.0,0.569,0.344,2336.27,1533.21,0.0,0.0,0.2255,757675.86
2024-11-29,2024-12-04,BUY_SILVER,Silver,30.685,31.505,87.67,84.7,1.566,0.023,4,Z_REVERSION,0.746,14.1,2.672,2.447,16684.78,1537.95,0.0,0.0,0.2255,774360.64
2024-12-20,2025-01-22,BUY_SILVER,Silver,29.66,31.239,89.1,92.5,2.437,1.165,20,MAX_HOLD,0.783,24.1,5.324,5.098,35530.14,1571.82,0.0,0.0,0.2255,809890.78
2025-01-24,2025-01-30,BUY_SILVER,Silver,31.023,32.364,90.08,94.5,1.769,0.265,5,Z_REVERSION,0.796,15.0,4.323,4.097,29863.51,1643.94,0.0,0.0,0.2255,839754.29
2025-02-12,2025-02-14,BUY_SILVER,Silver,32.695,32.801,90.36,95.1,1.634,0.285,3,Z_REVERSION,0.771,16.0,0.324,0.099,745.73,1704.55,0.0,0.0,0.2255,840500.02
2025-02-25,2025-03-05,BUY_SILVER,Silver,31.801,32.858,90.5,95.3,1.564,0.297,7,Z_REVERSION,0.743,19.0,3.324,3.098,23436.8,1706.07,0.0,0.0,0.2255,863936.82
2025-03-24,2025-03-25,BUY_SILVER,Silver,33.265,34.002,90.66,95.5,1.526,0.078,2,Z_REVERSION,0.721,19.3,2.216,1.99,15473.14,1753.64,0.0,0.0,0.2255,879409.96
2025-04-02,2025-04-04,BUY_SILVER,Silver,34.499,31.7391,91.31,97.0,1.927,5.681,3,PRICE_STOP,0.704,21.8,-8.0,-8.226,-65102.57,1785.05,0.0,0.0,0.2255,814307.39
2025-04-08,2025-05-06,BUY_SILVER,Silver,29.592,33.113,100.01,99.9,3.7,1.564,20,MAX_HOLD,0.72,47.0,11.898,11.673,85548.33,1652.9,0.0,0.0,0.2255,899855.72
2025-05-08,2025-06-02,BUY_SILVER,Silver,32.378,34.563,103.94,99.9,1.647,0.11,17,Z_REVERSION,0.538,23.5,6.748,6.523,52826.84,1826.55,0.0,0.0,0.2255,952682.56
2025-06-27,2025-07-25,BUY_GOLD,Gold,3273.7,3334.0,91.11,91.3,-1.739,-1.371,20,MAX_HOLD,0.506,16.6,1.842,1.616,13859.4,1933.78,0.0,0.0,0.2255,966541.96
2025-09-23,2025-10-20,BUY_GOLD,Gold,3780.6001,4336.3999,85.41,59.1,-1.735,-0.56,20,MAX_HOLD,0.687,16.1,14.701,14.476,125923.46,1961.91,0.0,0.0,0.2255,1092465.42
2025-11-12,2025-12-10,BUY_GOLD,Gold,4204.3999,4196.3999,81.13,33.6,-1.661,-2.702,20,MAX_HOLD,0.852,17.3,-0.19,-0.416,-4088.35,2217.51,0.0,0.0,0.2255,1088377.07
2025-12-12,2026-01-12,BUY_GOLD,Gold,4300.1001,4604.2998,67.04,0.4,-2.989,-1.983,20,MAX_HOLD,0.826,14.9,7.074,6.849,67085.83,2209.21,0.0,0.0,0.2255,1155462.9
2026-01-14,2026-02-05,BUY_GOLD,Gold,4626.2998,4861.3999,53.44,0.1,-1.975,-0.135,16,Z_REVERSION,0.76,16.0,5.082,4.856,50501.27,2345.39,0.0,0.0,0.2255,1205964.17
